Timestamp;Data
2023-11-02_16:28:24.18; Value-01;0x4111F918;1091696920;9,123314; Value-02;0x40CD0FB6;1087180726;6,408168; Value-03;0x420897A8;1107859368;34,1481; Value-04;0xC207200D;-1039720435;-33,7813; Value-05;0xC1D176BB;-1043237189;-26,18297; Value-06;0xC063C428;-1067203544;-3,558847; Value-07;0x4221CCDA;1109511386;40,45005; Value-08;0x42AF20C8;1118773448;87,56403; Value-09;0x42D022E4;1120936676;104,0681; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x7F800000;2139095040;∞; Value-0D;0x42E22854;1122117716;113,0788; Value-0E;0x433C4F17;1128025879;188,3089; Value-0F;0x4390FC21;1133575201;289,9698; Value-10;0x43B5465F;1135953503;362,5498; Value-11;0x43CF360E;1137653262;414,4223; Value-12;0x43DDEA63;1138616931;443,8311; Value-13;0x40C20BC2;1086458818;6,063935; Value-14;0x40F86AE8;1090022120;7,76305; Value-15;0x4206D865;1107744869;33,71132; Value-16;0xC2082581;-1039653503;-34,03662; Value-17;0xC1D45544;-1043049148;-26,54163; Value-18;0xC0837A48;-1065125304;-4,108677; Value-19;0x42214BA4;1109478308;40,32387; Value-1A;0x42AFAA0F;1118808591;87,83215; Value-1B;0x42D1AEAF;1121037999;104,8412; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x7F800000;2139095040;∞; Value-21;0x42E1AE19;1122086425;112,84; Value-22;0x433BE955;1127999829;187,9115; Value-23;0x4391199B;1133582747;290,2; Value-24;0x43B69CF6;1136041206;365,2263; Value-25;0x43D0CAEF;1137756911;417,5854; Value-26;0x43DE1C2B;1138629675;444,2201;
2023-11-02_16:28:24.32; Value-01;0x4111F918;1091696920;9,123314; Value-02;0x40CD0FB6;1087180726;6,408168; Value-03;0x420897A8;1107859368;34,1481; Value-04;0xC207200D;-1039720435;-33,7813; Value-05;0xC1D176BB;-1043237189;-26,18297; Value-06;0xC063C428;-1067203544;-3,558847; Value-07;0x4221CCDA;1109511386;40,45005; Value-08;0x42AF20C8;1118773448;87,56403; Value-09;0x42D022E4;1120936676;104,0681; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x7F800000;2139095040;∞; Value-0D;0x42E22854;1122117716;113,0788; Value-0E;0x433C4F17;1128025879;188,3089; Value-0F;0x4390FC21;1133575201;289,9698; Value-10;0x43B5465F;1135953503;362,5498; Value-11;0x43CF360E;1137653262;414,4223; Value-12;0x43DDEA63;1138616931;443,8311; Value-13;0x40C20BC2;1086458818;6,063935; Value-14;0x40F86AE8;1090022120;7,76305; Value-15;0x4206D865;1107744869;33,71132; Value-16;0xC2082581;-1039653503;-34,03662; Value-17;0xC1D45544;-1043049148;-26,54163; Value-18;0xC0837A48;-1065125304;-4,108677; Value-19;0x42214BA4;1109478308;40,32387; Value-1A;0x42AFAA0F;1118808591;87,83215; Value-1B;0x42D1AEAF;1121037999;104,8412; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x7F800000;2139095040;∞; Value-21;0x42E1AE19;1122086425;112,84; Value-22;0x433BE955;1127999829;187,9115; Value-23;0x4391199B;1133582747;290,2; Value-24;0x43B69CF6;1136041206;365,2263; Value-25;0x43D0CAEF;1137756911;417,5854; Value-26;0x43DE1C2B;1138629675;444,2201;
2023-11-02_16:28:24.32; Value-01;0x4111F918;1091696920;9,123314; Value-02;0x40CD0FB6;1087180726;6,408168; Value-03;0x420897A8;1107859368;34,1481; Value-04;0xC207200D;-1039720435;-33,7813; Value-05;0xC1D176BB;-1043237189;-26,18297; Value-06;0xC063C428;-1067203544;-3,558847; Value-07;0x4221CCDA;1109511386;40,45005; Value-08;0x42AF20C8;1118773448;87,56403; Value-09;0x42D022E4;1120936676;104,0681; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x7F800000;2139095040;∞; Value-0D;0x42E22854;1122117716;113,0788; Value-0E;0x433C4F17;1128025879;188,3089; Value-0F;0x4390FC21;1133575201;289,9698; Value-10;0x43B5465F;1135953503;362,5498; Value-11;0x43CF360E;1137653262;414,4223; Value-12;0x43DDEA63;1138616931;443,8311; Value-13;0x40C20BC2;1086458818;6,063935; Value-14;0x40F86AE8;1090022120;7,76305; Value-15;0x4206D865;1107744869;33,71132; Value-16;0xC2082581;-1039653503;-34,03662; Value-17;0xC1D45544;-1043049148;-26,54163; Value-18;0xC0837A48;-1065125304;-4,108677; Value-19;0x42214BA4;1109478308;40,32387; Value-1A;0x42AFAA0F;1118808591;87,83215; Value-1B;0x42D1AEAF;1121037999;104,8412; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x7F800000;2139095040;∞; Value-21;0x42E1AE19;1122086425;112,84; Value-22;0x433BE955;1127999829;187,9115; Value-23;0x4391199B;1133582747;290,2; Value-24;0x43B69CF6;1136041206;365,2263; Value-25;0x43D0CAEF;1137756911;417,5854; Value-26;0x43DE1C2B;1138629675;444,2201;
2023-11-02_16:28:24.38; Value-01;0x40F8DBA8;1090050984;7,776814; Value-02;0x410B737E;1091269502;8,715696; Value-03;0x420897A8;1107859368;34,1481; Value-04;0xC207200D;-1039720435;-33,7813; Value-05;0xC1D176BB;-1043237189;-26,18297; Value-06;0xC063C428;-1067203544;-3,558847; Value-07;0x4221CCDA;1109511386;40,45005; Value-08;0x42AF20C8;1118773448;87,56403; Value-09;0x42D022E4;1120936676;104,0681; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x7F800000;2139095040;∞; Value-0D;0x42E22854;1122117716;113,0788; Value-0E;0x433C4F17;1128025879;188,3089; Value-0F;0x4390FC21;1133575201;289,9698; Value-10;0x43B5465F;1135953503;362,5498; Value-11;0x43CF360E;1137653262;414,4223; Value-12;0x43DDEA63;1138616931;443,8311; Value-13;0x4100B381;1090564993;8,043824; Value-14;0x40F0975F;1089509215;7,518478; Value-15;0x42074964;1107773796;33,82167; Value-16;0xC2082581;-1039653503;-34,03662; Value-17;0xC1D45544;-1043049148;-26,54163; Value-18;0xC0837A48;-1065125304;-4,108677; Value-19;0x42214BA4;1109478308;40,32387; Value-1A;0x42AFAA0F;1118808591;87,83215; Value-1B;0x42D1AEAF;1121037999;104,8412; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x7F800000;2139095040;∞; Value-21;0x42E199D4;1122081236;112,8004; Value-22;0x433BE955;1127999829;187,9115; Value-23;0x4391199B;1133582747;290,2; Value-24;0x43B69CF6;1136041206;365,2263; Value-25;0x43D0CAEF;1137756911;417,5854; Value-26;0x43DE1C2B;1138629675;444,2201;
2023-11-02_16:28:24.50; Value-01;0x40F41AB5;1089739445;7,62826; Value-02;0x40F2CFA2;1089654690;7,587846; Value-03;0x42084416;1107837974;34,06649; Value-04;0xC2083448;-1039649720;-34,05106; Value-05;0xC1D1738D;-1043238003;-26,18142; Value-06;0xC0611380;-1067379840;-3,516815; Value-07;0x4221AB82;1109502850;40,41749; Value-08;0x42AF3447;1118778439;87,6021; Value-09;0x42CFDE04;1120919044;103,9336; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x7F800000;2139095040;∞; Value-0D;0x42DE4F31;1121865521;111,1547; Value-0E;0x433C895F;1128040799;188,5366; Value-0F;0x4390F4BB;1133573307;289,912; Value-10;0x43B53541;1135949121;362,416; Value-11;0x43CF23AD;1137648557;414,2787; Value-12;0x43DDEC7D;1138617469;443,8476; Value-13;0x41926437;1100112951;18,29893; Value-14;0x40FA7579;1090155897;7,82684; Value-15;0x4207A52B;1107797291;33,9113; Value-16;0xC209E8F5;-1039537931;-34,4775; Value-17;0xC1D08AD4;-1043297580;-26,06779; Value-18;0xC082AF6C;-1065177236;-4,083914; Value-19;0x421F0D90;1109331344;39,76324; Value-1A;0x42AF0573;1118766451;87,51064; Value-1B;0x42D14230;1121010224;104,6293; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x7F800000;2139095040;∞; Value-21;0x42DE430D;1121862413;111,131; Value-22;0x433D646D;1128096877;189,3923; Value-23;0x43912378;1133585272;290,2771; Value-24;0x43B5F29D;1135997597;363,8954; Value-25;0x43D06EB3;1137733299;416,8648; Value-26;0x43DE3DAA;1138638250;444,4818;
2023-11-02_16:28:24.50; Value-01;0x40F41AB5;1089739445;7,62826; Value-02;0x40F2CFA2;1089654690;7,587846; Value-03;0x42084416;1107837974;34,06649; Value-04;0xC2083448;-1039649720;-34,05106; Value-05;0xC1D1738D;-1043238003;-26,18142; Value-06;0xC0611380;-1067379840;-3,516815; Value-07;0x4221AB82;1109502850;40,41749; Value-08;0x42AF3447;1118778439;87,6021; Value-09;0x42CFDE04;1120919044;103,9336; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x7F800000;2139095040;∞; Value-0D;0x42DE4F31;1121865521;111,1547; Value-0E;0x433C895F;1128040799;188,5366; Value-0F;0x4390F4BB;1133573307;289,912; Value-10;0x43B53541;1135949121;362,416; Value-11;0x43CF23AD;1137648557;414,2787; Value-12;0x43DDEC7D;1138617469;443,8476; Value-13;0x41926437;1100112951;18,29893; Value-14;0x40FA7579;1090155897;7,82684; Value-15;0x4207A52B;1107797291;33,9113; Value-16;0xC209E8F5;-1039537931;-34,4775; Value-17;0xC1D08AD4;-1043297580;-26,06779; Value-18;0xC082AF6C;-1065177236;-4,083914; Value-19;0x421F0D90;1109331344;39,76324; Value-1A;0x42AF0573;1118766451;87,51064; Value-1B;0x42D14230;1121010224;104,6293; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x7F800000;2139095040;∞; Value-21;0x42DE430D;1121862413;111,131; Value-22;0x433D646D;1128096877;189,3923; Value-23;0x43912378;1133585272;290,2771; Value-24;0x43B5F29D;1135997597;363,8954; Value-25;0x43D06EB3;1137733299;416,8648; Value-26;0x43DE3DAA;1138638250;444,4818;
2023-11-02_16:28:24.63; Value-01;0x40F41AB5;1089739445;7,62826; Value-02;0x40F2CFA2;1089654690;7,587846; Value-03;0x42084416;1107837974;34,06649; Value-04;0xC2083448;-1039649720;-34,05106; Value-05;0xC1D183EA;-1043233814;-26,18941; Value-06;0xC04B6F89;-1068798071;-3,178683; Value-07;0x4221F272;1109521010;40,48676; Value-08;0x42AF3194;1118777748;87,59683; Value-09;0x42CFBB13;1120910099;103,8654; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x7F800000;2139095040;∞; Value-0D;0x42DE4F31;1121865521;111,1547; Value-0E;0x433C93F8;1128043512;188,578; Value-0F;0x43915CC1;1133599937;290,7246; Value-10;0x43B52ADB;1135946459;362,3348; Value-11;0x43CF020E;1137639950;414,0161; Value-12;0x43DD3462;1138570338;442,4092; Value-13;0x41926437;1100112951;18,29893; Value-14;0x40FA7579;1090155897;7,82684; Value-15;0x4207A52B;1107797291;33,9113; Value-16;0xC209E8F5;-1039537931;-34,4775; Value-17;0xC1D127EC;-1043257364;-26,14449; Value-18;0xC081B426;-1065241562;-4,053241; Value-19;0x421F46B5;1109345973;39,81905; Value-1A;0x42AECC76;1118751862;87,39934; Value-1B;0x42D0A246;1120969286;104,3169; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x7F800000;2139095040;∞; Value-21;0x42DE430D;1121862413;111,131; Value-22;0x433D646D;1128096877;189,3923; Value-23;0x4391298C;1133586828;290,3246; Value-24;0x43B5E0E6;1135993062;363,757; Value-25;0x43D05D9D;1137728925;416,7314; Value-26;0x43DD8FEC;1138593772;443,1244;
2023-11-02_16:28:24.63; Value-01;0x40F41AB5;1089739445;7,62826; Value-02;0x40F2CFA2;1089654690;7,587846; Value-03;0x42084416;1107837974;34,06649; Value-04;0xC2083448;-1039649720;-34,05106; Value-05;0xC1D183EA;-1043233814;-26,18941; Value-06;0xC04B6F89;-1068798071;-3,178683; Value-07;0x4221F272;1109521010;40,48676; Value-08;0x42AF3194;1118777748;87,59683; Value-09;0x42CFBB13;1120910099;103,8654; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x7F800000;2139095040;∞; Value-0D;0x42DE4F31;1121865521;111,1547; Value-0E;0x433C93F8;1128043512;188,578; Value-0F;0x43915CC1;1133599937;290,7246; Value-10;0x43B52ADB;1135946459;362,3348; Value-11;0x43CF020E;1137639950;414,0161; Value-12;0x43DD3462;1138570338;442,4092; Value-13;0x41926437;1100112951;18,29893; Value-14;0x40FA7579;1090155897;7,82684; Value-15;0x4207A52B;1107797291;33,9113; Value-16;0xC209E8F5;-1039537931;-34,4775; Value-17;0xC1D127EC;-1043257364;-26,14449; Value-18;0xC081B426;-1065241562;-4,053241; Value-19;0x421F46B5;1109345973;39,81905; Value-1A;0x42AECC76;1118751862;87,39934; Value-1B;0x42D0A246;1120969286;104,3169; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x7F800000;2139095040;∞; Value-21;0x42DE430D;1121862413;111,131; Value-22;0x433D646D;1128096877;189,3923; Value-23;0x4391298C;1133586828;290,3246; Value-24;0x43B5E0E6;1135993062;363,757; Value-25;0x43D05D9D;1137728925;416,7314; Value-26;0x43DD8FEC;1138593772;443,1244;
2023-11-02_16:28:24.75; Value-01;0x40EFBF0E;1089453838;7,492072; Value-02;0x40FCD053;1090310227;7,90043; Value-03;0x420863EA;1107846122;34,09757; Value-04;0xC20804D6;-1039661866;-34,00472; Value-05;0xC1D17EC4;-1043235132;-26,1869; Value-06;0xC04B6F89;-1068798071;-3,178683; Value-07;0x4221F272;1109521010;40,48676; Value-08;0x42AF3194;1118777748;87,59683; Value-09;0x42CFBB13;1120910099;103,8654; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x7F800000;2139095040;∞; Value-0D;0x42DE5EB8;1121869496;111,185; Value-0E;0x433C5241;1128026689;188,3213; Value-0F;0x43915CC1;1133599937;290,7246; Value-10;0x43B52ADB;1135946459;362,3348; Value-11;0x43CF020E;1137639950;414,0161; Value-12;0x43DD3462;1138570338;442,4092; Value-13;0x402901DF;1076429279;2,640739; Value-14;0x41004BAE;1090538414;8,018476; Value-15;0x4208213F;1107829055;34,03247; Value-16;0xC209B127;-1039552217;-34,423; Value-17;0xC1D39109;-1043099383;-26,44582; Value-18;0xC081B426;-1065241562;-4,053241; Value-19;0x421F46B5;1109345973;39,81905; Value-1A;0x42AECC76;1118751862;87,39934; Value-1B;0x42D0A246;1120969286;104,3169; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x7F800000;2139095040;∞; Value-21;0x42DDA941;1121823041;110,8306; Value-22;0x433C4650;1128023632;188,2747; Value-23;0x4391298C;1133586828;290,3246; Value-24;0x43B5E0E6;1135993062;363,757; Value-25;0x43D05D9D;1137728925;416,7314; Value-26;0x43DD8FEC;1138593772;443,1244;
2023-11-02_16:28:24.75; Value-01;0x40EFBF0E;1089453838;7,492072; Value-02;0x40FCD053;1090310227;7,90043; Value-03;0x420863EA;1107846122;34,09757; Value-04;0xC20804D6;-1039661866;-34,00472; Value-05;0xC1D17EC4;-1043235132;-26,1869; Value-06;0xC04B6F89;-1068798071;-3,178683; Value-07;0x4221F272;1109521010;40,48676; Value-08;0x42AF3194;1118777748;87,59683; Value-09;0x42CFBB13;1120910099;103,8654; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x7F800000;2139095040;∞; Value-0D;0x42DE5EB8;1121869496;111,185; Value-0E;0x433C5241;1128026689;188,3213; Value-0F;0x43915CC1;1133599937;290,7246; Value-10;0x43B52ADB;1135946459;362,3348; Value-11;0x43CF020E;1137639950;414,0161; Value-12;0x43DD3462;1138570338;442,4092; Value-13;0x402901DF;1076429279;2,640739; Value-14;0x41004BAE;1090538414;8,018476; Value-15;0x4208213F;1107829055;34,03247; Value-16;0xC209B127;-1039552217;-34,423; Value-17;0xC1D39109;-1043099383;-26,44582; Value-18;0xC081B426;-1065241562;-4,053241; Value-19;0x421F46B5;1109345973;39,81905; Value-1A;0x42AECC76;1118751862;87,39934; Value-1B;0x42D0A246;1120969286;104,3169; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x7F800000;2139095040;∞; Value-21;0x42DDA941;1121823041;110,8306; Value-22;0x433C4650;1128023632;188,2747; Value-23;0x4391298C;1133586828;290,3246; Value-24;0x43B5E0E6;1135993062;363,757; Value-25;0x43D05D9D;1137728925;416,7314; Value-26;0x43DD8FEC;1138593772;443,1244;
2023-11-02_16:28:24.88; Value-01;0x40ED5083;1089294467;7,416078; Value-02;0x40C08364;1086358372;6,016039; Value-03;0x42084575;1107838325;34,06783; Value-04;0xC2081102;-1039658750;-34,01661; Value-05;0xC1D0FA6E;-1043269010;-26,12228; Value-06;0xC04884C3;-1068989245;-3,133103; Value-07;0x4221FF7A;1109524346;40,49949; Value-08;0x42AF5637;1118787127;87,66839; Value-09;0x42CFD480;1120916608;103,915; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x7F800000;2139095040;∞; Value-0D;0x42DE58E8;1121868008;111,1736; Value-0E;0x433C61F1;1128030705;188,3826; Value-0F;0x43910647;1133577799;290,049; Value-10;0x43B53595;1135949205;362,4186; Value-11;0x43CF2DDB;1137651163;414,3582; Value-12;0x43DD2C6A;1138568298;442,347; Value-13;0x4167DA2D;1097325101;14,49077; Value-14;0x41031523;1090721059;8,19266; Value-15;0x4207BFE7;1107804135;33,9374; Value-16;0xC20A21CD;-1039523379;-34,53301; Value-17;0xC1D443BB;-1043053637;-26,53307; Value-18;0xC0781C56;-1065870250;-3,876729; Value-19;0x421F51AA;1109348778;39,82975; Value-1A;0x42AEF7E7;1118762983;87,48418; Value-1B;0x42D0BC1F;1120975903;104,3674; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x7F800000;2139095040;∞; Value-21;0x42DD8726;1121814310;110,764; Value-22;0x433BD144;1127993668;187,8174; Value-23;0x439165AA;1133602218;290,7943; Value-24;0x43B5EE8C;1135996556;363,8636; Value-25;0x43D086E6;1137739494;417,0539; Value-26;0x43DE16FC;1138628348;444,1796;
2023-11-02_16:28:24.88; Value-01;0x40ED5083;1089294467;7,416078; Value-02;0x40C08364;1086358372;6,016039; Value-03;0x42084575;1107838325;34,06783; Value-04;0xC2081102;-1039658750;-34,01661; Value-05;0xC1D0FA6E;-1043269010;-26,12228; Value-06;0xC04884C3;-1068989245;-3,133103; Value-07;0x4221FF7A;1109524346;40,49949; Value-08;0x42AF5637;1118787127;87,66839; Value-09;0x42CFD480;1120916608;103,915; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x7F800000;2139095040;∞; Value-0D;0x42DE58E8;1121868008;111,1736; Value-0E;0x433C61F1;1128030705;188,3826; Value-0F;0x43910647;1133577799;290,049; Value-10;0x43B53595;1135949205;362,4186; Value-11;0x43CF2DDB;1137651163;414,3582; Value-12;0x43DD2C6A;1138568298;442,347; Value-13;0x4167DA2D;1097325101;14,49077; Value-14;0x41031523;1090721059;8,19266; Value-15;0x4207BFE7;1107804135;33,9374; Value-16;0xC20A21CD;-1039523379;-34,53301; Value-17;0xC1D443BB;-1043053637;-26,53307; Value-18;0xC0781C56;-1065870250;-3,876729; Value-19;0x421F51AA;1109348778;39,82975; Value-1A;0x42AEF7E7;1118762983;87,48418; Value-1B;0x42D0BC1F;1120975903;104,3674; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x7F800000;2139095040;∞; Value-21;0x42DD8726;1121814310;110,764; Value-22;0x433BD144;1127993668;187,8174; Value-23;0x439165AA;1133602218;290,7943; Value-24;0x43B5EE8C;1135996556;363,8636; Value-25;0x43D086E6;1137739494;417,0539; Value-26;0x43DE16FC;1138628348;444,1796;
2023-11-02_16:28:25.00; Value-01;0x40ED5083;1089294467;7,416078; Value-02;0x40C08364;1086358372;6,016039; Value-03;0x42084575;1107838325;34,06783; Value-04;0xC2081102;-1039658750;-34,01661; Value-05;0xC1D0FA6E;-1043269010;-26,12228; Value-06;0xC0637088;-1067224952;-3,553743; Value-07;0x4223E200;1109647872;40,9707; Value-08;0x42AF35B8;1118778808;87,60492; Value-09;0x42CF49F0;1120881136;103,6444; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x7F800000;2139095040;∞; Value-0D;0x42DE58E8;1121868008;111,1736; Value-0E;0x433C61F1;1128030705;188,3826; Value-0F;0x43910647;1133577799;290,049; Value-10;0x43B5D78E;1135990670;363,684; Value-11;0x43CF34B7;1137652919;414,4118; Value-12;0x43DCB8FE;1138538750;441,4453; Value-13;0x4167DA2D;1097325101;14,49077; Value-14;0x41031523;1090721059;8,19266; Value-15;0x4207BFE7;1107804135;33,9374; Value-16;0xC20A21CD;-1039523379;-34,53301; Value-17;0xC1D443BB;-1043053637;-26,53307; Value-18;0xC07758B5;-1065920331;-3,864789; Value-19;0x42207D6A;1109425514;40,12247; Value-1A;0x42AEE788;1118758792;87,45221; Value-1B;0x42D079BB;1120958907;104,2378; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x7F800000;2139095040;∞; Value-21;0x42DD8726;1121814310;110,764; Value-22;0x433BD144;1127993668;187,8174; Value-23;0x43916175;1133601141;290,7614; Value-24;0x43B64536;1136018742;364,5407; Value-25;0x43D0891C;1137740060;417,0712; Value-26;0x43DE5751;1138644817;444,6822;
2023-11-02_16:28:25.00; Value-01;0x40ED5083;1089294467;7,416078; Value-02;0x40C08364;1086358372;6,016039; Value-03;0x42084575;1107838325;34,06783; Value-04;0xC2081102;-1039658750;-34,01661; Value-05;0xC1D0FA6E;-1043269010;-26,12228; Value-06;0xC0637088;-1067224952;-3,553743; Value-07;0x4223E200;1109647872;40,9707; Value-08;0x42AF35B8;1118778808;87,60492; Value-09;0x42CF49F0;1120881136;103,6444; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x7F800000;2139095040;∞; Value-0D;0x42DE58E8;1121868008;111,1736; Value-0E;0x433C61F1;1128030705;188,3826; Value-0F;0x43910647;1133577799;290,049; Value-10;0x43B5D78E;1135990670;363,684; Value-11;0x43CF34B7;1137652919;414,4118; Value-12;0x43DCB8FE;1138538750;441,4453; Value-13;0x4167DA2D;1097325101;14,49077; Value-14;0x41031523;1090721059;8,19266; Value-15;0x4207BFE7;1107804135;33,9374; Value-16;0xC20A21CD;-1039523379;-34,53301; Value-17;0xC1D443BB;-1043053637;-26,53307; Value-18;0xC07758B5;-1065920331;-3,864789; Value-19;0x42207D6A;1109425514;40,12247; Value-1A;0x42AEE788;1118758792;87,45221; Value-1B;0x42D079BB;1120958907;104,2378; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x7F800000;2139095040;∞; Value-21;0x42DD8726;1121814310;110,764; Value-22;0x433BD144;1127993668;187,8174; Value-23;0x43916175;1133601141;290,7614; Value-24;0x43B64536;1136018742;364,5407; Value-25;0x43D0891C;1137740060;417,0712; Value-26;0x43DE5751;1138644817;444,6822;
2023-11-02_16:28:25.13; Value-01;0x40DD7017;1088253975;6,919933; Value-02;0x40DA45E7;1088046567;6,821033; Value-03;0x4207C8E8;1107806440;33,9462; Value-04;0xC2083702;-1039649022;-34,05372; Value-05;0xC1D146AE;-1043249490;-26,15951; Value-06;0xC0637515;-1067223787;-3,554021; Value-07;0x4223C123;1109639459;40,93861; Value-08;0x42AF8576;1118799222;87,76067; Value-09;0x42D03407;1120941063;104,1016; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x7F800000;2139095040;∞; Value-0D;0x42DE727D;1121874557;111,2236; Value-0E;0x433C6BF4;1128033268;188,4217; Value-0F;0x4391012E;1133576494;290,0092; Value-10;0x43B5CE5C;1135988316;363,6122; Value-11;0x43CFA518;1137681688;415,2898; Value-12;0x43DC6E05;1138519557;440,8595; Value-13;0x4037AF59;1077391193;2,870077; Value-14;0x40EBCDC2;1089195458;7,368867; Value-15;0x4207B702;1107801858;33,92872; Value-16;0xC2097E6E;-1039565202;-34,37347; Value-17;0xC1D4174C;-1043065012;-26,51138; Value-18;0xC0820552;-1065220782;-4,063149; Value-19;0x42212BD4;1109470164;40,2928; Value-1A;0x42AF32BF;1118778047;87,59911; Value-1B;0x42D0F807;1120991239;104,4844; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x7F800000;2139095040;∞; Value-21;0x42DE1B8E;1121852302;111,0538; Value-22;0x433BEC15;1128000533;187,9222; Value-23;0x43914100;1133592832;290,5078; Value-24;0x43B66910;1136027920;364,8208; Value-25;0x43D08D9C;1137741212;417,1063; Value-26;0x43DE28C2;1138632898;444,3184;
